"State","Year","mortality"
"TX","2012",141.189523809524
"TX","2013",137.305578231293
"TX","2014",140.139659863946
"TX","2015",140.761020408163
"TX","2016",137.520816326531
"TX","2017",135.510952380952
"TX","2018",132.005782312925
"TX","2019",127.609863945578
"UT","1999",187.568666666667
"UT","2000",191.184666666667
"UT","2001",186.299333333333
"UT","2002",182.891333333333
"UT","2003",177.188666666667
"UT","2004",162.158
"UT","2005",155.436666666667
"UT","2006",140.184
"UT","2007",138.908666666667
"UT","2008",134.564
"UT","2009",126.57
"UT","2010",127.160666666667
"UT","2011",123.840666666667
"UT","2012",120.991333333333
"UT","2013",120.733333333333
"UT","2014",121.688666666667
"UT","2015",120.336
"UT","2016",119.914
"UT","2017",118.151333333333
"UT","2018",114.414
"UT","2019",110.694
"VA","1999",242.523636363636
"VA","2000",245.276242424242
"VA","2001",235.559151515152
"VA","2002",227.748
"VA","2003",220.021212121212
"VA","2004",205.14896969697
"VA","2005",194.933333333333
"VA","2006",178.48
"VA","2007",171.720242424242
"VA","2008",165.798909090909
"VA","2009",158.456
"VA","2010",155.974060606061
"VA","2011",152.008606060606
"VA","2012",147.234787878788
"VA","2013",138.450666666667
"VA","2014",134.694303030303
"VA","2015",139.539636363636
"VA","2016",137.542181818182
"VA","2017",137.622060606061
"VA","2018",138.138666666667
"VA","2019",140.608848484848
"VT","1999",218.196610169492
"VT","2000",199.4
"VT","2001",194.461016949153
"VT","2002",191.471186440678
"VT","2003",177.974576271186
"VT","2004",167.938983050847
"VT","2005",148.949152542373
"VT","2006",138.342372881356
"VT","2007",134.462711864407
"VT","2008",133.064406779661
"VT","2009",125.486440677966
"VT","2010",129.345762711864
"VT","2011",122.025423728814
"VT","2012",120.271186440678
"VT","2013",117.294915254237
"VT","2014",114.562711864407
"VT","2015",117.689830508475
"VT","2016",112.420338983051
"VT","2017",110.818644067797
"VT","2018",112.452542372881
"VT","2019",109.254237288136
"WA","1999",230.2625
"WA","2000",225.358928571429
"WA","2001",222.6975
"WA","2002",215.565
"WA","2003",199.820714285714
"WA","2004",184.675
"WA","2005",167.841071428571
"WA","2006",151.960714285714
"WA","2007",147.277857142857
"WA","2008",144.130714285714
"WA","2009",132.748928571429
"WA","2010",129.206428571429
"WA","2011",124.585
"WA","2012",117.108571428571
"WA","2013",120.279642857143
"WA","2014",121.176071428571
"WA","2015",120.674285714286
"WA","2016",124.090357142857
"WA","2017",126.638571428571
